Razão Social;Razão Social;Contatos 
'6248300000000; GES C. C. SERV E SERIG LTDA EPP;karina.sereda@gordonsmith.com.br
'80074600000000;3RS CONFECCOES LTDA;rafael@3rsconfeccoes.com.br
'97755177000725;A GRINGS S A;faticherepresentacoes@gmail.com
'97755177001020;A GRINGS S A;faticherepresentacoes@gmail.com
'7807234000194;ABRANGE INDUSTRIA E COM DE CONFECCO LTDA;catia.lombardi@abrangetextil.com.br
'12060260000131;AKAZZO INDUSTRIA DE CALCADOS LTDA;"indenizacao@akazzo.com.br;faturamento@akazzo.com.br"
'61079117014580;ALPARGATAS S A;octaviom@alpargatas.com
'61079117016443;ALPARGATAS S A;eduardoj@alpargatas.com
'12554601000125;ANJUU IMP EXP E COM DE CONFECCOES;devolucao@anjuu.com.br
'20203358000129;ANJUU IMP EXP E COM DE CONFECCOES;"	devolucao@anjuu.com.br"
'16590234006450;AREZZO INDUSTRIA E COMERCIO SA;"angelica.silva@usereserva.com;felipe.anca@arezzo.com.br;devolucoes.atacado@usereserva.com"
'12701550000117;ARTCL INDUSTRIA DE ETIQUETAS E CALC LTDA;vendas@dastop.com.br
'27306936000100;AVURA IND E COM DE CALCADOS E EIRELI;devolucao.avura@gmail.com
'34168501000101;AZA TEXTIL INDUSTRIA COM IMP EXP EI;adm@azatextil.com.br
'41283864000145;BASICOECO SA;"hevirtonn.a@basico.com;israel.b@basico.com;rafael.s@basico.com"
'7768092000101;BASQUERA MENZEL E CIA LTDA;pcp@mariaemilia.com.br
'85301026000122;BEACH E COUNTRY CONFECCOES LTDA;beach.country@hotmail.com
'8461023000105;BIAGGIO IND COM CALCADOS LTDA EPP;defeitos.biaggio@gmail.com
'4056026000102;BIAGGIO IND COM CALCADOS LTDA EPP;defeitos.biaggio@gmail.com
'8960572000124;BISCHOFF CREATIVE GROUP EIRELI;posvendas@bischoff.group
'4919016000153;BLACK FREE CALCADOS EIRELI;sac@blackfree.com.br
